gene	avg_logFC	p_val	p_adj_FDR	pct.1	pct.2	pct.2_mean	pct_ratio	pct_ratio_mean	comparison	comparison_logFC	comparison_FDR	comparison_pct.2
CENPH	0.483914453354793	6.61834038601831e-21	2.20566783529252e-20	0.678	0.136	0.107857142857143	0.200589970501475	0.159081331647703	c1	c3	c6	c4
TACC3	0.564206638717535	7.28092751795525e-21	2.41244816704081e-20	0.631	0.09	0.0441428571428571	0.142630744849445	0.0699569843785375	c1	c5	c6	c5
CENPK	0.476807068285226	9.65741456781879e-21	3.18305678049649e-20	0.647	0.156	0.0644285714285714	0.241112828438949	0.0995804813424597	c1	c8	c6	c8
TPX2	0.625429119377332	2.16831129263104e-20	6.96375742786965e-20	0.616	0.083	0.0405714285714286	0.13474025974026	0.0658627087198516	c1	c5	c6	c5
CCNA2	0.616062533463934	7.07767599763727e-20	2.19805053259956e-19	0.589	0.038	0.0281428571428571	0.0645161290322581	0.0477807421780257	c1	c4	c6	c7
CENPU	0.55511133157557	1.07070139708673e-19	3.28721048828259e-19	0.66	0.127	0.0717142857142857	0.192424242424242	0.108658008658009	c1	c6	c6	c5
CENPF	0.962409686193637	1.18971595246071e-19	3.62892288902928e-19	0.64	0.133	0.0742857142857143	0.2078125	0.116071428571429	c1	c4	c6	c8
MCM5	0.508234662175306	2.33122457500912e-19	6.88754262192648e-19	0.643	0.175	0.145857142857143	0.272161741835148	0.226838480337703	c1	c3	c6	c4
CDKN3	0.597771659565606	6.80537486776801e-19	1.95239565566149e-18	0.57	0.068	0.0358571428571429	0.119298245614035	0.0629072681704261	c1	c4	c6	c4
ATAD2	0.401300334557373	1.09337184620608e-18	3.08504619874039e-18	0.579	0.171	0.0988571428571429	0.295336787564767	0.17073772514187	c1	c4	c6	c5
AURKB	0.654379796494246	1.33543371638347e-18	3.72338704330918e-18	0.612	0.058	0.0361428571428571	0.0947712418300654	0.0590569561157796	c1	c6	c6	c3
MCM4	0.396928918685128	7.52539490733816e-18	1.98369665064878e-17	0.62	0.173	0.130285714285714	0.279032258064516	0.210138248847926	c1	c3	c6	c4
ANLN	0.337816414641669	1.69447520091253e-17	4.36252028470229e-17	0.546	0.09	0.0335714285714286	0.164835164835165	0.0614861329147043	c1	c5	c6	c5
TCF19	0.371806328842886	2.53679689274325e-17	6.45325798605222e-17	0.505	0.078	0.045	0.154455445544554	0.0891089108910891	c1	c3	c6	c5
MND1	0.461534741395025	2.58430294674621e-17	6.56364122237027e-17	0.559	0.057	0.0362857142857143	0.101967799642218	0.0649118323536928	c1	c4	c6	c5
PKMYT1	0.509728650924432	2.6784733270669e-17	6.78450444352612e-17	0.561	0.046	0.0244285714285714	0.0819964349376114	0.0435446906035141	c1	c4	c6	c6
KIF20B	0.551807877433848	3.58698544149247e-17	9.01295941373675e-17	0.568	0.098	0.0727142857142857	0.172535211267606	0.128018108651911	c1	c4	c6	c5
CDCA3	0.484268610040174	3.72125338944834e-17	9.33786517192238e-17	0.486	0.029	0.0194285714285714	0.0596707818930041	0.0399764844209289	c1	c4	c6	c4
LMNB2	0.41289539133711	4.36467617936538e-17	1.07799482540232e-16	0.632	0.178	0.136714285714286	0.281645569620253	0.216320072332731	c1	c4	c6	c5
CCNB2	0.580405303430965	7.06636568941383e-17	1.72042693757786e-16	0.529	0.081	0.0415714285714286	0.153119092627599	0.078584931136916	c1	c4	c6	c4
CDCA5	0.440196821863614	1.9246697354304e-16	4.5562621912956e-16	0.524	0.043	0.0234285714285714	0.0820610687022901	0.044711014176663	c1	c6	c6	c5
CENPN	0.403191779605411	2.32228099192705e-16	5.46316603350837e-16	0.577	0.11	0.0728571428571429	0.190641247833622	0.126268878435256	c1	c4	c6	c4
SGOL1	0.419604409557884	5.34656095346687e-16	1.23462916741407e-15	0.523	0.051	0.0208571428571429	0.0975143403441683	0.0398798142583993	c1	c5	c6	c5
ASPM	0.602230767472243	1.32852563271706e-15	2.99435358176467e-15	0.473	0.032	0.0167142857142857	0.0676532769556025	0.0353367562669888	c1	c4	c6	c4
RAD51AP1	0.39615453484409	1.92025090742502e-15	4.26168892426166e-15	0.483	0.04	0.0265714285714286	0.082815734989648	0.0550133096716948	c1	c4	c6	c5
SPC25	0.475377584169584	3.24939547952798e-15	7.15247051751072e-15	0.497	0.023	0.0152857142857143	0.0462776659959759	0.030755964357574	c1	c6	c6	c6
NUF2	0.413665734219588	3.30035521994707e-15	7.25615481768737e-15	0.468	0.044	0.0194285714285714	0.094017094017094	0.0415140415140415	c1	c5	c6	c5
GINS2	0.509999944568826	4.30531532108457e-15	9.36717160032504e-15	0.598	0.115	0.0577142857142857	0.192307692307692	0.0965121834687052	c1	c6	c6	c6
KIFC1	0.422210223447928	4.81302763822696e-15	1.03996762515995e-14	0.537	0.048	0.032	0.0893854748603352	0.0595903165735568	c1	c6	c6	c4
FANCI	0.345559433447839	5.03983766331207e-15	1.08648046762352e-14	0.505	0.102	0.051	0.201980198019802	0.100990099009901	c1	c5	c6	c5
CEP55	0.435816593968519	5.82054093652252e-15	1.24906021009525e-14	0.485	0.037	0.0202857142857143	0.0762886597938144	0.0418262150220913	c1	c4	c6	c4
UHRF1	0.433406436132974	6.58196588065719e-15	1.40604537881916e-14	0.495	0.047	0.0322857142857143	0.094949494949495	0.0652236652236652	c1	c6	c6	c8
CLSPN	0.479683792032191	7.08455006787302e-15	1.50997998049117e-14	0.502	0.046	0.0234285714285714	0.0916334661354582	0.0466704610130905	c1	c6	c6	c6
LMNB1	0.449790655409848	7.51231117745935e-15	1.59213622026785e-14	0.632	0.126	0.0678571428571429	0.199367088607595	0.107368896925859	c1	c6	c6	c6
FOXM1	0.384620596825038	1.500544919359e-14	3.12392205556818e-14	0.497	0.054	0.0292857142857143	0.108651911468813	0.0589249784420811	c1	c4	c6	c4
GTSE1	0.455723295253697	1.88944463771501e-14	3.89051948378518e-14	0.474	0.027	0.0151428571428571	0.0569620253164557	0.0319469559975889	c1	c6	c6	c7
MELK	0.347849589073739	1.93576693905239e-14	3.97286082802245e-14	0.485	0.084	0.0291428571428571	0.17319587628866	0.0600883652430044	c1	c5	c6	c5
CCNB1	0.813646165008903	4.04148919326506e-14	8.09157729970729e-14	0.553	0.159	0.110428571428571	0.2875226039783	0.199690002583312	c1	c6	c6	c5
KIF23	0.414688337194858	4.05055934988066e-14	8.10111869976132e-14	0.468	0.044	0.0271428571428571	0.094017094017094	0.057997557997558	c1	c6	c6	c8
CHEK1	0.321436987265483	4.1957735022019e-14	8.33837986393239e-14	0.457	0.055	0.0351428571428571	0.12035010940919	0.076899030947171	c1	c4	c6	c4
KIF11	0.344446551643299	1.24548955706217e-13	2.3967396179867e-13	0.437	0.056	0.0262857142857143	0.128146453089245	0.0601503759398496	c1	c8	c6	c8
ATAD5	0.365131087823658	1.53695291823834e-13	2.92767752239327e-13	0.493	0.057	0.0384285714285714	0.115618661257607	0.0779484207476094	c1	c6	c6	c6
TROAP	0.391623345295369	1.83031439253455e-13	3.46986099484185e-13	0.454	0.059	0.0277142857142857	0.129955947136564	0.0610446821900566	c1	c4	c6	c4
MYBL2	0.403860074409861	2.14005142701211e-13	4.02757678563678e-13	0.444	0.021	0.012	0.0472972972972973	0.027027027027027	c1	c4	c6	c4
ESCO2	0.357907705941857	2.92675025867503e-13	5.49166897988674e-13	0.415	0.02	0.0137142857142857	0.0481927710843374	0.0330464716006885	c1	c3	c6	c4
HMMR	0.478798962532877	9.38860321247973e-13	1.71048898798518e-12	0.425	0.037	0.0224285714285714	0.0870588235294118	0.0527731092436975	c1	c4	c6	c5
CDC6	0.331402345454534	1.12282530088122e-12	2.03188193871006e-12	0.441	0.046	0.029	0.104308390022676	0.0657596371882086	c1	c6	c6	c7
NCAPG	0.316379930197532	1.32097402159382e-12	2.36768867489483e-12	0.395	0.023	0.011	0.0582278481012658	0.0278481012658228	c1	c4	c6	c7
KIF2C	0.354036690752606	2.17085473784271e-12	3.80051034104184e-12	0.42	0.023	0.0155714285714286	0.0547619047619048	0.0370748299319728	c1	c6	c6	c6
SPC24	0.37547362815738	3.22276935957197e-12	5.59009394904558e-12	0.433	0.027	0.0192857142857143	0.0623556581986143	0.0445397558561531	c1	c4	c6	c4
DLGAP5	0.387472789442358	6.73565463695217e-12	1.14408863057256e-11	0.407	0.049	0.0167142857142857	0.12039312039312	0.0410670410670411	c1	c5	c6	c5
CENPE	0.430473305948968	7.44275786695377e-12	1.25738512617657e-11	0.439	0.039	0.0217142857142857	0.0888382687927107	0.0494630654083957	c1	c6	c6	c4
CDCA8	0.327525858365775	9.94831654190100e-12	1.66572346368841e-11	0.396	0.03	0.016	0.0757575757575757	0.0404040404040404	c1	c6	c6	c5
NDC80	0.316345145559532	1.70582627241116e-11	2.80626315094213e-11	0.419	0.037	0.0252857142857143	0.0883054892601432	0.0603477667916809	c1	c6	c6	c5
MCM6	0.347375025599993	1.90130550764948e-11	3.11152779599679e-11	0.43	0.069	0.0522857142857143	0.16046511627907	0.121594684385382	c1	c3	c6	c4
RMI2	0.26508733638478	2.11819112859567e-11	3.45744640417785e-11	0.423	0.101	0.0595714285714286	0.238770685579196	0.140830800405268	c1	c4	c6	c4
ARHGAP11A	0.331075708981035	2.17522972075314e-11	3.54440028957352e-11	0.414	0.032	0.0207142857142857	0.0772946859903382	0.0500345065562457	c1	c4	c6	c5
DEPDC1	0.273983530610696	2.82389273306534e-11	4.57363693943973e-11	0.355	0.046	0.0147142857142857	0.129577464788732	0.0414486921529175	c1	c5	c6	c5
KIF20A	0.341714325386011	4.23969920551257e-11	6.80811766618998e-11	0.376	0.037	0.0211428571428571	0.0984042553191489	0.0562310030395137	c1	c4	c6	c5
PLK1	0.488460516498042	5.78850258096098e-11	9.15458979610804e-11	0.396	0.037	0.0261428571428571	0.0934343434343434	0.066017316017316	c1	c4	c6	c5
PHF19	0.321596749394941	6.69516877984574e-11	1.0512024991241e-10	0.576	0.149	0.066	0.258680555555556	0.114583333333333	c1	c6	c6	c6
MCM2	0.274091777205621	7.7231700842641e-11	1.20322898167095e-10	0.428	0.104	0.0644285714285714	0.242990654205607	0.150534045393858	c1	c3	c6	c8
HJURP	0.306773733999756	9.55019075244031e-11	1.46962052298386e-10	0.369	0.023	0.0127142857142857	0.0623306233062331	0.0344560588463027	c1	c6	c6	c6
EZH2	0.312499452785485	1.08293764273679e-10	1.65698263709807e-10	0.553	0.151	0.091	0.273056057866184	0.164556962025316	c1	c6	c6	c5
RAD51	0.280912747557339	1.34467210948553e-10	2.05078841981505e-10	0.364	0.032	0.0192857142857143	0.0879120879120879	0.0529827315541601	c1	c4	c6	c5
NCAPH	0.266278541468204	1.78487153543067e-10	2.70026385022551e-10	0.378	0.023	0.0142857142857143	0.0608465608465608	0.0377928949357521	c1	c5	c6	c7
ORC6	0.299465836868727	1.89961716635938e-10	2.8669442719233e-10	0.54	0.149	0.0667142857142857	0.275925925925926	0.123544973544974	c1	c6	c6	c6
TTF2	0.284619206203409	2.15168547631627e-10	3.23698806269162e-10	0.494	0.122	0.0967142857142857	0.246963562753036	0.195777906304222	c1	c4	c6	c5
TTK	0.261230045633428	2.45558383541929e-10	3.66197209053812e-10	0.352	0.049	0.0197142857142857	0.139204545454545	0.0560064935064935	c1	c5	c6	c5
ARHGAP11B	0.269783369637281	2.48975029021238e-10	3.70998420125075e-10	0.337	0.038	0.0215714285714286	0.112759643916914	0.0640101738024587	c1	c4	c6	c5
BRCA2	0.271021618733934	2.57144813526001e-10	3.82552976726164e-10	0.415	0.073	0.0372857142857143	0.175903614457831	0.0898450946643718	c1	c5	c6	c5
FANCD2	0.297234457214961	2.58687255545531e-10	3.84253681875839e-10	0.415	0.046	0.035	0.110843373493976	0.0843373493975904	c1	c6	c6	c6
CASC5	0.27823773073705	4.00407005911828e-10	5.87804980597551e-10	0.375	0.06	0.0254285714285714	0.16	0.0678095238095238	c1	c5	c6	c5
OIP5	0.252463991068372	5.79256033643985e-10	8.41822282098826e-10	0.361	0.023	0.0152857142857143	0.0637119113573407	0.0423426988523941	c1	c6	c6	c4
TIMELESS	0.260864878903619	6.6790103632701e-10	9.68405046508037e-10	0.419	0.105	0.0692857142857143	0.250596658711217	0.165359699965905	c1	c5	c6	c5
CDC45	0.274365718171493	1.4234104523991e-09	2.02943823592053e-09	0.381	0.034	0.016	0.089238845144357	0.041994750656168	c1	c6	c6	c6
HIST1H1D	0.293322011130446	1.69157696575968e-09	2.40086564823509e-09	0.354	0.088	0.0611428571428571	0.248587570621469	0.1727199354318	c1	c2	c6	c4
SGOL2	0.253859947083139	2.23281130967971e-09	3.13593349613225e-09	0.39	0.095	0.0498571428571429	0.243589743589744	0.127838827838828	c1	c5	c6	c8
PSRC1	0.289322951115387	3.04862074873026e-09	4.25000314748915e-09	0.356	0.034	0.0248571428571429	0.0955056179775281	0.0698234349919743	c1	c6	c6	c6
CENPA	0.334478073712469	7.13465193127642e-09	9.64613141857919e-09	0.329	0.023	0.0125714285714286	0.0699088145896656	0.0382110290924881	c1	c6	c6	c6
MXD3	0.278080100246977	8.34669493605553e-09	1.12363947565497e-08	0.423	0.082	0.0595714285714286	0.193853427895981	0.140830800405268	c1	c6	c6	c8
NCAPD2	0.255711533428414	5.51716475618341e-08	7.05387504832689e-08	0.431	0.103	0.076	0.238979118329466	0.176334106728538	c1	c6	c6	c6
AURKA	0.313595611745231	5.53195492478239e-08	7.06798314218632e-08	0.373	0.069	0.0345714285714286	0.184986595174263	0.0926847950976637	c1	c6	c6	c6
HIST1H1A	0.258193857591244	8.42441331502729e-07	1.0053738654966e-06	0.289	0.034	0.022	0.117647058823529	0.0761245674740485	c1	c6	c6	c7
KRT14	0.906586663747139	2.56985731821895e-40	3.5046894731073e-39	0.937	0.739	0.539428571428571	0.788687299893276	0.575697514865071	c3	c1	c6	c1
CAV1	0.694399623164718	3.02105892923238e-25	1.33779597760361e-24	0.675	0.352	0.143857142857143	0.521481481481481	0.213121693121693	c3	c2	c6	c1
FOS	0.455063166343697	4.20437011392638e-23	1.6484634488353e-22	0.993	1	0.972	1.00704934541793	0.978851963746224	c3	c2	c6	c7
G0S2	0.796865541649233	1.32810694490484e-22	5.02916955796963e-22	0.652	0.337	0.137857142857143	0.516871165644172	0.211437335670465	c3	c2	c6	c2
NAP1L1	0.256434153753088	7.09462974678686e-21	2.35486652265483e-20	0.981	0.985	0.946428571428571	1.00407747196738	0.964758992281928	c3	c2	c2	c1
VIM	1.10873913174506	6.7785602724726e-20	2.10863643517247e-19	0.685	0.487	0.263714285714286	0.710948905109489	0.384984358706986	c3	c8	c6	c8
CEBPB	0.316508172106639	8.55249008013029e-19	2.43506601071183e-18	0.945	0.966	0.828571428571429	1.02222222222222	0.876795162509448	c3	c2	c2	c7
TOB1	0.598679188251923	2.6657313734427e-17	6.76132944045708e-17	0.856	0.848	0.74	0.990654205607477	0.864485981308411	c3	c4	c7	c7
TPM2	1.05287987534816	1.46971540201008e-16	3.51908955036001e-16	0.695	0.545	0.321285714285714	0.784172661870504	0.462281603288798	c3	c2	c6	c1
MYL9	1.0538947646162	4.02081653432312e-15	8.80928605075216e-15	0.582	0.393	0.209428571428571	0.675257731958763	0.359842906234659	c3	c2	c6	c2
ISYNA1	0.268706898469618	1.34330501359124e-14	2.8058823924292e-14	0.735	0.61	0.384	0.829931972789116	0.522448979591837	c3	c2	c2	c2
CAV2	0.323765700733117	1.59856676571086e-14	3.31332891307031e-14	0.781	0.708	0.546571428571429	0.906530089628681	0.699835375891714	c3	c2	c6	c1
FHL2	0.299312649850817	2.33983891882298e-13	4.39917766755729e-13	0.909	0.865	0.567428571428571	0.951595159515952	0.624233851956624	c3	c2	c2	c2
TINAGL1	0.542315032743536	3.98859440639681e-13	7.40289415467337e-13	0.615	0.524	0.277714285714286	0.852032520325203	0.451567944250871	c3	c2	c7	c1
NPC2	0.376555338169811	1.83186926355904e-12	3.22806924533531e-12	0.973	0.973	0.938428571428571	1	0.964469240933784	c3	c2	c6	c1
NFIB	0.365810770206904	8.38686771597383e-12	1.41181440442422e-11	0.884	0.905	0.634142857142857	1.0237556561086	0.717356173238526	c3	c7	c7	c7
C6orf48	0.292718316276704	2.37137271364658e-11	3.85066734001972e-11	0.952	0.903	0.789714285714286	0.948529411764706	0.82953181272509	c3	c2	c6	c2
MMP2	0.53781627115674	7.48407396080898e-11	1.16985275699689e-10	0.368	0.05	0.0208571428571429	0.135869565217391	0.0566770186335404	c3	c2	c6	c2
PYGB	0.387269510611854	8.36373778108439e-11	1.29872561914198e-10	0.693	0.658	0.399857142857143	0.94949494949495	0.576994434137291	c3	c7	c6	c7
SSPN	0.263442383942476	1.03700004645833e-10	1.58927857282946e-10	0.409	0.25	0.116714285714286	0.611246943765281	0.28536500174642	c3	c2	c2	c2
CIRBP	0.281606706316638	1.50287281801036e-10	2.28650496644746e-10	0.993	0.99	0.963571428571429	0.996978851963746	0.970363976406272	c3	c2	c6	c2
SCPEP1	0.271009719007237	1.56653211128822e-10	2.37951043861536e-10	0.885	0.852	0.752428571428571	0.96271186440678	0.850201775625504	c3	c8	c8	c8
NINJ1	0.284841493638417	1.77091294848613e-09	2.50779395714891e-09	0.693	0.724	0.497857142857143	1.04473304473304	0.718408575551433	c3	c2	c6	c1
ANKH	0.406505378137571	2.18132066426056e-09	3.07049026936304e-09	0.469	0.237	0.118571428571429	0.505330490405117	0.252817544928419	c3	c2	c6	c2
DKK3	0.268908204333583	4.38493363815882e-09	6.05461856714226e-09	0.635	0.558	0.192	0.878740157480315	0.302362204724409	c3	c2	c2	c2
ID3	0.553039363669627	4.48057304803691e-09	6.17761060542525e-09	0.779	0.666	0.477285714285714	0.854942233632863	0.612690262240968	c3	c6	c6	c1
DDIT4	0.253892629077185	9.51692056159494e-09	1.27570117499442e-08	0.865	0.883	0.793285714285714	1.02080924855491	0.917093311312964	c3	c4	c4	c1
SNCG	0.406585497995393	1.25484319679117e-08	1.66076996931152e-08	0.366	0.199	0.0792857142857143	0.543715846994536	0.216627634660422	c3	c2	c6	c2
BHLHE41	0.3735166101124	1.47283165214644e-08	1.94108485247871e-08	0.449	0.323	0.156	0.719376391982183	0.347438752783964	c3	c2	c7	c7
NBL1	0.285067704662823	2.44601783622901e-08	3.17914749156285e-08	0.829	0.913	0.662428571428571	1.10132689987937	0.799069446837843	c3	c2	c2	c1
PIK3R1	0.331268724258088	9.92784024865345e-08	1.25565828951383e-07	0.534	0.356	0.243857142857143	0.666666666666667	0.456661316211878	c3	c2	c6	c2
LGALS1	0.641319123968775	1.38707013208356e-07	1.73337715045237e-07	0.673	0.391	0.261285714285714	0.580980683506686	0.388240288686054	c3	c6	c6	c6
CCDC3	0.39649398650315	1.75482631974955e-07	2.17704886866754e-07	0.267	0.103	0.0312857142857143	0.385767790262172	0.117174959871589	c3	c2	c6	c1
MT1M	0.479289512469132	8.05619095096766e-07	9.66948429191399e-07	0.341	0.228	0.103428571428571	0.668621700879765	0.303309593632174	c3	c7	c7	c7
CCDC8	0.300834608386586	1.45020198539198e-06	1.71007527350107e-06	0.255	0.11	0.0431428571428571	0.431372549019608	0.169187675070028	c3	c8	c6	c8
EPDR1	0.401427432792814	1.81923999889078e-06	2.13720953677432e-06	0.336	0.232	0.0988571428571429	0.69047619047619	0.29421768707483	c3	c7	c7	c7
CCNI	0.258728824255707	4.87159823418709e-06	5.61786021859075e-06	0.986	0.957	0.930857142857143	0.970588235294118	0.944074181396697	c3	c6	c6	c2
SOD3	0.305693348188292	6.6084492307317e-06	7.57436142036361e-06	0.298	0.199	0.0802857142857143	0.667785234899329	0.269415148609779	c3	c2	c2	c2
CSAD	0.314797373794918	6.62178432592983e-06	7.58502623335358e-06	0.397	0.338	0.222428571428571	0.851385390428212	0.560273479668946	c3	c2	c6	c1
CTNNB1	0.312219223791814	6.95005002409166e-06	7.95620081833364e-06	0.837	0.909	0.776142857142857	1.08602150537634	0.927291346646185	c3	c2	c7	c7
COL9A3	0.385828739905255	1.25375918235033e-05	1.42228739070725e-05	0.25	0.16	0.0474285714285714	0.64	0.189714285714286	c3	c8	c6	c8
SERTAD4-AS1	0.297766356871248	1.43565292184021e-05	1.61887285734168e-05	0.493	0.496	0.278571428571429	1.00608519269777	0.565053607649957	c3	c8	c8	c8
CLDN11	0.306351577818604	1.66503734061853e-05	1.87192370074318e-05	0.182	0.023	0.009	0.126373626373626	0.0494505494505495	c3	c1	c6	c7
LPCAT2	0.296312820100278	1.77697588387917e-05	1.99538700087148e-05	0.324	0.195	0.121	0.601851851851852	0.373456790123457	c3	c2	c6	c1
CLIC3	0.376742602577271	8.32971731442762e-05	9.14083264475381e-05	0.296	0.205	0.101714285714286	0.692567567567568	0.343629343629344	c3	c4	c7	c7
GEM	0.334610230119221	0.000136007002401847	0.000148385610736392	0.265	0.143	0.0741428571428571	0.539622641509434	0.279784366576819	c3	c2	c6	c2
SOCS3	0.263445927076646	0.000325590116461082	0.000350951087731819	0.803	0.884	0.637571428571429	1.10087173100872	0.793986835082725	c3	c2	c4	c1
COL9A2	0.290421062386818	0.000517813702347341	0.000554968899668391	0.286	0.23	0.123285714285714	0.804195804195804	0.431068931068931	c3	c7	c7	c5
HTRA1	0.316114095750896	0.000764364906113321	0.000817349291650722	0.366	0.319	0.137	0.871584699453552	0.37431693989071	c3	c7	c7	c7
MEG3	0.326973087150935	0.00156967496025438	0.00166242446550295	0.176	0.123	0.048	0.698863636363636	0.272727272727273	c3	c2	c2	c1
ACTN1	0.389706348635687	0.00251949381348262	0.00265789650054613	0.582	0.649	0.492428571428571	1.11512027491409	0.846097201767305	c3	c6	c6	c1
SERPING1	0.305982759691375	0.00585785619321088	0.0061349389847651	0.408	0.414	0.234142857142857	1.01470588235294	0.573879551820728	c3	c2	c7	c7
FXYD6	0.257198882187142	0.0202493505324699	0.0209276648556333	0.353	0.241	0.065	0.68271954674221	0.18413597733711	c3	c6	c6	c6
MT1X	0.312071318625153	0.0235946560585937	0.024371648025397	0.973	0.997	0.85	1.02466598150051	0.873586844809866	c3	c1	c1	c1
SFRP1	0.365297229191036	0.0603306819211058	0.0620789192867803	0.14	0.103	0.0218571428571429	0.735714285714286	0.156122448979592	c3	c7	c7	c7
CALD1	0.368254754994069	0.0655888495719987	0.0674157372444028	0.527	0.414	0.219714285714286	0.785578747628083	0.416915153158037	c3	c6	c6	c6
NNMT	0.507054295844699	0.0758086586524333	0.0777927456836857	0.18	0.144	0.0521428571428571	0.8	0.28968253968254	c3	c7	c7	c7
CXCL3	0.317828287459152	0.0829724625813008	0.0850512933431417	0.613	0.624	0.456	1.01794453507341	0.743882544861338	c3	c7	c7	c7
FGF7	0.274775513700272	0.115201674378984	0.117831277815895	0.108	0.057	0.024	0.527777777777778	0.222222222222222	c3	c6	c6	c6
MFGE8	0.299012269797098	0.138493462783241	0.141347449543416	0.312	0.314	0.173714285714286	1.00641025641026	0.556776556776557	c3	c6	c6	c1
CRYAB	0.306561391745763	0.220842113485503	0.224298358111019	0.231	0.209	0.109857142857143	0.904761904761905	0.475572047000618	c3	c7	c7	c7
MYLK	0.335739267212397	0.252746571462758	0.25628720231299	0.127	0.309	0.0837142857142857	2.43307086614173	0.659167604049494	c3	c8	c6	c8
TAGLN	1.72538942707029	0.32578027523001	0.32998841656775	0.161	0.119	0.079	0.739130434782609	0.490683229813665	c3	c2	c2	c2
CHI3L1	0.452307921628708	0.381712359793643	0.386434997919116	0.322	0.365	0.117	1.13354037267081	0.363354037267081	c3	c2	c7	c7
APOD	0.669294429855351	0.465291958720514	0.470289724120304	0.135	0.538	0.187571428571429	3.98518518518519	1.38941798941799	c3	c8	c6	c8
GADD45B	0.367981798588613	0.529583640063271	0.533552682333552	0.731	0.848	0.706	1.16005471956224	0.965800273597811	c3	c7	c7	c7
ACTA2	1.52615967459822	0.795802197778424	0.79707277073922	0.106	0.117	0.0642857142857143	1.10377358490566	0.606469002695418	c3	c2	c8	c8
DUSP2	0.278366582705609	0.827138347219143	0.828018281631078	0.435	0.515	0.383857142857143	1.18390804597701	0.882430213464696	c3	c2	c1	c1
FAM216B	1.57448903020028	1.89032466853324e-44	4.44698878272446e-43	0.93	0.09	0.0448571428571429	0.0967741935483871	0.0482334869431644	c8	c5	c6	c5
STOML3	1.18220255741483	2.97067621788142e-37	3.14090597868137e-36	0.853	0.065	0.0302857142857143	0.0762016412661196	0.0355049405459722	c8	c5	c6	c5
MRLN	1.31390610142236	3.65192528109892e-37	3.83962199945708e-36	0.837	0.06	0.0195714285714286	0.0716845878136201	0.0233828298344427	c8	c5	c6	c5
CATSPERD	1.34209870993275	2.21276532567691e-36	2.18032688111202e-35	0.826	0.059	0.031	0.0714285714285714	0.0375302663438257	c8	c5	c6	c5
ANKRD66	1.00517287647857	5.94503214878121e-35	5.30263057061907e-34	0.813	0.056	0.0192857142857143	0.0688806888068881	0.0237216657880865	c8	c5	c6	c5
RP11-275I14.4	1.11987183003702	2.83600258767979e-34	2.42607130455153e-33	0.809	0.075	0.0384285714285714	0.0927070457354759	0.0475013243863677	c8	c5	c6	c5
CCL15	1.07001294660402	8.71134465619796e-34	7.15927975675308e-33	0.795	0.054	0.0177142857142857	0.0679245283018868	0.0222821203953279	c8	c5	c6	c5
DTHD1	0.991467225969313	8.80069634775206e-34	7.20126544629104e-33	0.798	0.057	0.0194285714285714	0.0714285714285714	0.0243465807375582	c8	c5	c6	c5
PPP1R42	0.992159444186229	1.50911898185504e-33	1.21895361538677e-32	0.799	0.076	0.0201428571428571	0.0951188986232791	0.0252100840336134	c8	c5	c6	c5
GPR162	1.01870434013133	4.11175293676192e-33	3.18449342674318e-32	0.805	0.075	0.0322857142857143	0.093167701863354	0.0401064773735581	c8	c6	c6	c5
PIH1D3	1.00193911371412	4.64735602067447e-33	3.56992817588137e-32	0.782	0.073	0.0244285714285714	0.0933503836317136	0.0312385823894775	c8	c5	c6	c5
TCTEX1D1	0.905169205054491	9.42542823713823e-33	7.06719360250763e-32	0.8	0.071	0.0258571428571429	0.08875	0.0323214285714286	c8	c5	c6	c5
FRMPD2	0.99817925625837	1.89448940635996e-32	1.38732648356788e-31	0.795	0.069	0.0271428571428571	0.0867924528301887	0.0341419586702606	c8	c6	c6	c6
DNAH11	0.869356048563153	3.7768114917488e-32	2.69240879828456e-31	0.746	0.071	0.0225714285714286	0.0951742627345844	0.0302566066641134	c8	c5	c6	c5
CCDC39	0.912613851787918	4.01386835299605e-32	2.83988730839796e-31	0.767	0.076	0.0194285714285714	0.0990873533246415	0.025330601601788	c8	c5	c6	c5
LINC01571	0.994184000696257	7.94148320741138e-32	5.51508169606945e-31	0.75	0.051	0.0185714285714286	0.068	0.0247619047619048	c8	c5	c6	c5
DNAH10	0.870467315142124	3.68368864024321e-31	2.49377770537328e-30	0.764	0.073	0.0264285714285714	0.0955497382198953	0.0345923709798055	c8	c5	c6	c5
FAM179A	0.876197418348393	5.18964441467225e-31	3.43905309451168e-30	0.742	0.06	0.021	0.0808625336927224	0.0283018867924528	c8	c5	c6	c5
ANKUB1	0.88414628151476	4.87877947721766e-30	3.00060881572668e-29	0.741	0.049	0.0225714285714286	0.0661268556005398	0.0304607673028726	c8	c3	c6	c5
MDH1B	0.791289892034913	8.003109122217e-30	4.8586617316169e-29	0.72	0.07	0.0294285714285714	0.0972222222222222	0.0408730158730159	c8	c5	c6	c5
ARMC4	0.856422208483082	1.05788171107917e-29	6.32042342936827e-29	0.745	0.062	0.0272857142857143	0.0832214765100671	0.0366251198465964	c8	c5	c6	c5
SYNE1	0.842156884117995	1.92850180688055e-29	1.13775561145743e-28	0.75	0.069	0.0431428571428571	0.092	0.0575238095238095	c8	c3	c6	c6
DCDC2B	0.894102910423271	8.11031263915468e-29	4.61136205041967e-28	0.728	0.035	0.0168571428571429	0.0480769230769231	0.0231554160125589	c8	c6	c6	c5
